Link,Name,Platform,Technologies,Industry / Niche,Brief,Relevant People,Visibility
https://play.google.com/store/apps/details?id=com.ripeseed.gaze_maze,Gaze Maze,Game,"Firebase, Unity",Game,"GazeMaze is a game that presents a 3D map to user, that they need to navigate from, while collecting coins and avoiding obstacles. This is a hybrid-casual game with two main mechanics: runner and puzzle.","Adeel, Afaq, Haider, Muaaz",Public
"iOS: https://apps.apple.com/us/app/baggage-boss/id6444000563

Android: https://play.google.com/store/apps/details?id=com.ripeseed.baggageboss",Baggage Boss,Game,"Firebase, Unity",Game,A game where the user has to place right sized baggages into the right sized carts,"Adeel, Muaaz",Public
https://play.google.com/store/apps/details?id=com.ripeseed.orbitsurfers,Orbit Surfers,Game,"Firebase, Unity",Game,"A hyper-casual game, where the player releases rockets in orbits of planets, with the goal of keeping the rockets from crashing into these planets.","Adeel, Afaq, Haider, Muaaz",Public
https://app.applybro.com/,ApplyBro,Web,"Firebase, Node","Resume Generation, SaaS",Application for automated resume creation that utilizes AI to retrieve data from LinkedIn.,"Adnan, Rizwan, Sameer",Private
https://roboreply.merchynt.com/login,RoboReply,Web,"NextJS, Node",SaaS,A platform to automate responding to google business profile reviews,"Noraiz, Nushirvan, Rizwan",Public
https://app.tressly.co/,Tressly,Web,NextJS,"Social, appointment booking",All-in-one booking system for hair stylists,"Mursal, Noraiz, Wahab",Private
https://partnerhub.merchynt.com/,Partner Hub,Web,"GAuth, GoogleSheets, NestJS","Dashboard, SaaS","A subscription and Billing Management Platform. It centralizes the management of user subscriptions, billing history and onboarding of new clients to portal. ","Nushirvan, Usama",Public
https://topperoni.com/,Topperoni,Web,"NextJS, StoryBlok",Affiliate Marketing,A platform that lists top products from a category and uses Amazon affiliate links for moentization,"Ahsan, Sameer, Zia",Private
http://tabouleh.com/,Tabouleh,"Chrome Extension, Web","Adsense, Firebase, React",Charity,"A new tab chrome extension, aimed to collect charity funds by showing ads.","Ahsan, Haseeb",Public
https://www.codraft.ai/,Codraft ai,"MS Word Extension, Web","Langchain, Pinecone, Python","AI, NLP, Writing assistant","A product, trained on the US Constitution, assists lawyers and attorneys in drafting legal documents.","Nushirvan, Usama",Public
Not Released,Foxtrax,Web,"Facebook Graph API, Graphql, Node, React, XState",Marketing,Marketing resource management and insights,Faizan,Don't List
http://app.descriptionwise.ai/,DescriptionWise,Web,NextJS,"Dashboard, Marketing, SEO",An tool that helps in generating Amazon Product description using AI,Mursal,Private
http://business.atpay.io/,@Pay business,Web,MERN,Crypto,A platform that allows professionals to charge their customers and receive payment in cryptocurrency,"Faizan, Mursal",Private
http://enroll.perryhealth.com/,Perry Health,Web,"FastAPI, NextJS, Salesforce",Healthcare,"A platform aimed at creating the world’s first remote, continuous health system for patients living with chronic disease.",Mursal,Private
http://precd34.com/,ML Calculator,Web,"Flask, Python, React",AI,A tool for PreCd34+ rate calculation.,Nushirvan,Public
https://chrome.google.com/webstore/detail/appointmentcore-plugin-fo/mmjcajbhlpjbaegiliagmjaapfkicjml,AppointmentCore,Chrome Extension,"JQuery, Node, React, React Native",appointment booking,"A SaaS platform, used for B2B appointment scheduling. Integrated with Salesforce, Gmail, Keepa, and Outlook","Hashir, Nushirvan, Taimoor",Private
Not Released,Emmy,Web,"Django, Python, Retool",Ecommerce,"An amazon product research tool, used for analysing and comparing products by scrapping their information from Keepa and Rainforest","Faizan, Mursal, Nushirvan",Private
https://noustalk.com/,NousTalk,Web,".NET, C#, Docker, Node, React","Healthcare, Therapy, appointment booking",A health-tech platform to book appointments with therapists,Nushirvan,Private
http://beltwaybrief.com/,Beltway Brief,Web,"Flask, Langchain, Python","AI, Media Coverage",An AI based newsletters creation tool that also sends these newsletters to it’s subscribed users,"Nushirvan, Sameer",Public
https://www.merchynt.com/paige,pAIge,Web,MERN,"AI, Business Management, Dashboard",Unified tool used to manage Google Business Profiles. Has integrations with multiple websites and products.,"Nushirvan, Rizwan",Public
https://movezly.com.au/,Movezly,Web,"Angular, MySQL, php","Luggage Movers, Transport",A platforms that allows users to find people and vehicles to transfer their luggage from one place to the other.,"Sameer, Sidra",Private
https://www.loom.com/share/5fbc357d38354c4bb8371f11b27dca14,UpCatch,Chrome Extension,"MERN, PubSub","AI, Email Scheduling, auto email generation",A chrome extension that helped users auto generate replies to emails. It also helped them schedule emails for the future,"Afaq, Sameer, Sidra",Private
Not Released,LinkedIn Scraper,Chrome Extension,React,"Job hunting, Resume Generation",scrapped all of user's relevant information from their linkedIn profile,"Afaq, Sidra",Don't List
https://www.loom.com/share/6f66c8602b2e40dbace6643c7429d43f,Twilio Video App,Web,"Node, React, Twilio","Screen sharing, Video Calling",A customised secure video calling web app with a screen sharing feature. Could manage upto 20 users in the same meeting.,"Osama Riaz, Sidra",Private
https://www.loom.com/share/6753bd4fe35943c4b3ed6dab0e384a59,Real Estate Website,Web,"Node, React",Real Estate,A platform that allows users to buy and rent properties online.,"Osama Riaz, Sameer, Sidra",Public
Not Released,Betacarbon,Web,MERN,"Blockchain, Cryptocurrency",A platform to manage Carbon Token on Blockchain,"Afaq, Faizan, Mursal, Nushirvan",Private
https://mydreamdj.com/,My Dream DJ,Web,"Django, NextJS",Music,"A platform for Local Talent, for Personal and Corporate Events","Afaq, Mursal",Private
https://app.buscarid.com/authentication/sign-in,Buscarid/IDFY,Web,MERN,Marketing analysis,A website to monitor logs and matrix of the marketing tools you are using on meta or google,"Afaq, Sameer",Private
https://amplifyd.io/,Amplifyd,Web,"GatsbyJS, React",Freelance,An influencer marketplace where brands could get in touch and have contracts with influencers,Hashir,Private
https://app.hirello.ai/,Hirello,Web,"Document AI, Generative AI, NextJS, Node, OpenAI, ShadCN","Dashboard, Document AI, Resume Parsing",A platform for recruiters to shortlist and assess candidates with the help of AI. The platform also helps conduct AI based candidate outreach and conduct AI interviews,Noraiz,Private
https://llamaedu.com/,LlamaEdu,Web,"ChatGPT, Generative AI, OpenAI, React, Stripe","Ed-Tech, Education",A platform to help educators create and share Lesson Plans,Usama,Public
